Journal name,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,1423-0348,PSYCHIATRY,"SCIE, SSCI","6,466",18.1,Q1,2.81,33.78
TRENDS IN CELL BIOLOGY,0962-8924,1879-3088,CELL BIOLOGY,SCIE,"20,144",18.1,Q1,1.46,16.43
JAMA Pediatrics,2168-6203,2168-6211,PEDIATRICS,SCIE,"19,417",18.0,Q1,7.39,17.55
Lancet Global Health,2214-109X,2214-109X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","25,472",18.0,Q1,5.58,97.83
Lancet Haematology,2352-3026,,HEMATOLOGY,SCIE,"7,814",17.7,Q1,4.22,7.66
Psychological Science in the Public Interest,1529-1006,1539-6053,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"3,043",17.6,Q1,5.75,27.27
ADVANCED DRUG DELIVERY REVIEWS,0169-409X,1872-8294,PHARMACOLOGY & PHARMACY,SCIE,"50,670",17.6,Q1,2.32,20.15
Molecular Neurodegeneration,,1750-1326,NEUROSCIENCES,SCIE,"11,362",17.5,Q1,3.29,100.0
Trends in Cancer,2405-8033,2405-8025,ONCOLOGY,SCIE,"9,356",17.5,Q1,2.15,17.59
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,1545-861X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"30,057",17.3,Q1,7.09,81.81
PHARMACOLOGICAL REVIEWS,0031-6997,1521-0081,PHARMACOLOGY & PHARMACY,SCIE,"12,523",17.3,Q1,2.82,23.08
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,ECOLOGY,SCIE,"39,765",17.3,Q1,2.13,28.05
TRENDS IN COGNITIVE SCIENCES,1364-6613,1879-307X,NEUROSCIENCES,SCIE,"34,805",17.2,Q1,2.03,21.18
JAMA Psychiatry,2168-622X,2168-6238,PSYCHIATRY,"SCIE, SSCI","24,360",17.1,Q1,4.44,27.22
National Science Review,2095-5138,2053-714X,MULTIDISCIPLINARY SCIENCES,SCIE,"19,541",17.1,Q1,3.04,100.0
Clinical and Molecular Hepatology,2287-2728,2287-285X,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"4,160",16.9,Q1,3.16,100.0
HEPATOLOGY,0270-9139,1527-3350,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"72,026",16.8,Q1,3.61,20.49
Molecular Cell,1097-2765,1097-4164,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"84,919",16.6,Q1,2.7,30.96
CANCER RESEARCH,0008-5472,1538-7445,ONCOLOGY,SCIE,"118,866",16.6,Q1,2.31,25.93
Annual Review of Clinical Psychology,1548-5943,1548-5951,PSYCHOLOGY,SCIE,"10,094",16.5,Q1,4.45,56.67
Lancet Rheumatology,2665-9913,2665-9913,RHEUMATOLOGY,SCIE,"4,069",16.4,Q1,4.48,24.73
Science Immunology,2470-9468,2470-9468,IMMUNOLOGY,SCIE,"13,743",16.4,Q1,3.82,7.84
Journal of the National Comprehensive Cancer Network,1540-1405,1540-1413,ONCOLOGY,SCIE,"14,793",16.4,Q1,2.91,0.46
TRENDS IN GENETICS,0168-9525,1362-4555,GENETICS & HEREDITY,SCIE,"14,613",16.3,Q1,1.98,22.34
CIRCULATION RESEARCH,0009-7330,1524-4571,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"64,140",16.2,Q1,4.13,11.56
HUMAN REPRODUCTION UPDATE,1355-4786,1460-2369,OBSTETRICS & GYNECOLOGY,SCIE,"13,393",16.1,Q1,4.28,23.0
Nature Human Behaviour,2397-3374,2397-3374,MULTIDISCIPLINARY SCIENCES,SCIE,"17,247",15.9,Q1,5.33,26.93
PERIODONTOLOGY 2000,0906-6713,1600-0757,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"11,317",15.7,Q1,3.7,54.46
SEMINARS IN CANCER BIOLOGY,1044-579X,1096-3650,ONCOLOGY,SCIE,"20,368",15.7,Q1,3.45,23.81
Nature Communications,,2041-1723,MULTIDISCIPLINARY SCIENCES,SCIE,"911,428",15.7,Q1,3.34,99.73
Lancet Child & Adolescent Health,2352-4642,2352-4642,PEDIATRICS,SCIE,"7,779",15.5,Q1,7.55,21.74
ANNALS OF INTERNAL MEDICINE,0003-4819,1539-3704,"MEDICINE, GENERAL & INTERNAL",SCIE,"65,428",15.4,Q1,3.97,0.71
CELL DEATH AND DIFFERENTIATION,1350-9047,1476-5403,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"32,732",15.4,Q1,2.24,48.01
Neuron,0896-6273,1097-4199,NEUROSCIENCES,SCIE,"99,128",15.3,Q1,3.76,23.72
RADIOLOGY,0033-8419,,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"60,450",15.2,Q1,4.18,7.0
JACC-Cardiovascular Imaging,1936-878X,1876-7591,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"17,416",15.2,Q1,3.87,20.49
Translational Neurodegeneration,2047-9158,2047-9158,NEUROSCIENCES,SCIE,"4,641",15.2,Q1,2.39,100.0
npj Digital Medicine,2398-6352,2398-6352,HEALTH CARE SCIENCES & SERVICES,SCIE,"14,912",15.1,Q1,3.59,100.0
TRENDS IN NEUROSCIENCES,0166-2236,1878-108X,NEUROSCIENCES,SCIE,"21,797",15.1,Q1,2.21,18.66
Bone Research,2095-4700,2095-6231,CELL & TISSUE ENGINEERING,SCIE,"5,937",15.0,Q1,2.85,100.0
JAMA Surgery,2168-6254,2168-6262,SURGERY,SCIE,"18,840",14.9,Q1,6.59,9.73
PROGRESS IN LIPID RESEARCH,0163-7827,1873-2194,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"8,022",14.9,Q1,1.68,39.24
TRENDS IN BIOTECHNOLOGY,0167-7799,1879-3096,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"19,617",14.9,Q1,1.68,16.73
TRENDS IN MICROBIOLOGY,0966-842X,1878-4380,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"19,338",14.9,Q1,1.52,17.21
International Journal of Transgender Health,2689-5269,2689-5277,"PSYCHOLOGY, CLINICAL",SSCI,"2,255",14.8,Q1,2.59,28.11
PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,1873-1635,OPHTHALMOLOGY,SCIE,"12,730",14.7,Q1,4.09,39.22
AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,1535-7228,PSYCHIATRY,"SCIE, SSCI","37,962",14.7,Q1,3.99,0.49
ENDOCRINE PATHOLOGY,1046-3976,1559-0097,PATHOLOGY,SCIE,"2,567",14.7,Q1,3.56,36.52
Science Translational Medicine,1946-6234,1946-6242,CELL BIOLOGY,SCIE,"52,583",14.7,Q1,3.36,7.13
Acta Pharmaceutica Sinica B,2211-3835,2211-3843,PHARMACOLOGY & PHARMACY,SCIE,"21,296",14.6,Q1,3.43,99.44
Lancet Healthy Longevity,2666-7568,2666-7568,GERIATRICS & GERONTOLOGY,SCIE,"3,521",14.6,Q1,3.28,97.88
Nature Reviews Urology,1759-4812,1759-4820,UROLOGY & NEPHROLOGY,SCIE,"7,509",14.6,Q1,3.0,2.22
