Journal name,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
Communications Medicine,2730-664X,2730-664X,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,"2,572",6.3,Q1,1.52,99.66
RESPIROLOGY,1323-7799,1440-1843,RESPIRATORY SYSTEM,SCIE,"8,176",6.3,Q1,1.51,51.71
NEURAL NETWORKS,0893-6080,1879-2782,NEUROSCIENCES,SCIE,"29,552",6.3,Q1,1.45,12.95
Environment & Health,2833-8278,2833-8278,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,397,6.3,Q1,1.39,100.0
OncoImmunology,2162-402X,2162-402X,IMMUNOLOGY,SCIE,"15,331",6.3,Q1,1.36,99.75
Fundamental Research,2096-9457,2667-3258,MULTIDISCIPLINARY SCIENCES,ESCI,"2,613",6.3,Q1,1.34,100.0
PHYTOTHERAPY RESEARCH,0951-418X,1099-1573,PHARMACOLOGY & PHARMACY,SCIE,"25,394",6.3,Q1,1.34,7.4
Radiology-Imaging Cancer,2638-616X,2638-616X,ONCOLOGY,ESCI,713,6.3,Q1,1.16,97.53
Chinese Journal of Cancer Research,1000-9604,1993-0631,ONCOLOGY,SCIE,"2,673",6.3,Q1,0.96,100.0
Epilepsy Currents,1535-7597,1535-7511,CLINICAL NEUROLOGY,SCIE,"1,237",6.3,Q1,0.75,97.73
CLADISTICS,0748-3007,1096-0031,EVOLUTIONARY BIOLOGY,SCIE,"3,911",6.2,Q1,2.49,26.19
ACCIDENT ANALYSIS AND PREVENTION,0001-4575,1879-2057,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"31,668",6.2,Q1,2.05,18.68
GENETICS IN MEDICINE,1098-3600,1530-0366,GENETICS & HEREDITY,SCIE,"20,368",6.2,Q1,1.89,24.63
Lancet Regional Health - Southeast Asia,2772-3682,2772-3682,HEALTH CARE SCIENCES & SERVICES,ESCI,"1,111",6.2,Q1,1.88,98.51
Environmental DNA,2637-4943,2637-4943,ECOLOGY,ESCI,"3,240",6.2,Q1,1.78,97.89
Translational Psychiatry,2158-3188,2158-3188,PSYCHIATRY,SCIE,"23,765",6.2,Q1,1.73,100.0
Methods in Ecology and Evolution,2041-210X,2041-2096,ECOLOGY,SCIE,"29,155",6.2,Q1,1.67,87.04
BRAIN PATHOLOGY,1015-6305,1750-3639,CLINICAL NEUROLOGY,SCIE,"6,463",6.2,Q1,1.66,98.88
Journal of Behavioral Addictions,2062-5871,2063-5303,PSYCHIATRY,"SCIE, SSCI","5,716",6.2,Q1,1.64,99.15
Fluids and Barriers of the CNS,2045-8118,2045-8118,NEUROSCIENCES,SCIE,"4,135",6.2,Q1,1.51,100.0
JMIR mHealth and uHealth,2291-5222,2291-5222,HEALTH CARE SCIENCES & SERVICES,SCIE,"14,041",6.2,Q1,1.32,98.17
Pneumonia,2200-6133,2200-6133,RESPIRATORY SYSTEM,ESCI,521,6.2,Q1,1.29,98.11
Phenomics,2730-583X,2730-5848,GENETICS & HEREDITY,ESCI,709,6.2,Q1,1.27,24.43
PSYCHIATRY AND CLINICAL NEUROSCIENCES,1323-1316,1440-1819,CLINICAL NEUROLOGY,SCIE,"5,525",6.2,Q1,1.18,40.1
Artificial Intelligence in Medicine,0933-3657,1873-2860,MEDICAL INFORMATICS,SCIE,"7,798",6.2,Q1,1.15,28.08
EMBO REPORTS,1469-221X,1469-3178,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"21,073",6.2,Q1,1.07,60.56
Cell and Bioscience,,2045-3701,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"7,764",6.2,Q1,1.04,100.0
Cell Surface,2468-2330,2468-2330,BIOCHEMISTRY & MOLECULAR BIOLOGY,ESCI,615,6.2,Q1,0.98,96.23
CELLULAR AND MOLECULAR LIFE SCIENCES,1420-682X,1420-9071,Multiple,,39879,6.2,Q1,0.95,68.9
HUMAN REPRODUCTION,0268-1161,1460-2350,Multiple,,34895,6.1,Q1,2.23,25.03
JOURNAL OF APPLIED PSYCHOLOGY,0021-9010,1939-1854,"PSYCHOLOGY, APPLIED",SSCI,52066,6.1,Q1,2.13,7.84
JCI Insight,,2379-3708,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,28151,6.1,Q1,1.71,99.42
BMJ Global Health,2059-7908,2059-7908,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI",16152,6.1,Q1,1.67,99.9
European Heart Journal-Cardiovascular Pharmacotherapy,2055-6837,2055-6845,Multiple,,2006,6.1,Q1,1.61,24.18
Epidemiology and Psychiatric Sciences,2045-7960,2045-7979,PSYCHIATRY,"SCIE, SSCI",4699,6.1,Q1,1.59,100.0
AMERICAN JOURNAL OF ROENTGENOLOGY,0361-803X,1546-3141,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,32535,6.1,Q1,1.58,2.8
Molecular Therapy Nucleic Acids,2162-2531,2162-2531,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,13223,6.1,Q1,1.58,98.88
ISME Communications,,2730-6151,Multiple,,2299,6.1,Q1,1.57,100.0
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,1096-4037,1573-2827,"PSYCHOLOGY, CLINICAL",SSCI,4447,6.1,Q1,1.51,55.91
Hepatology International,1936-0533,1936-0541,GASTROENTEROLOGY & HEPATOLOGY,SCIE,5858,6.1,Q1,1.45,29.26
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,0147-6513,1090-2414,TOXICOLOGY,SCIE,69072,6.1,Q1,1.43,99.63
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,1097-6647,1532-429X,Multiple,,6904,6.1,Q1,1.41,100.0
JOURNAL OF CONSUMER PSYCHOLOGY,1057-7408,1532-7663,"PSYCHOLOGY, APPLIED",SSCI,8500,6.1,Q1,1.36,26.43
European Journal of Internal Medicine,0953-6205,1879-0828,"MEDICINE, GENERAL & INTERNAL",SCIE,8566,6.1,Q1,1.26,25.74
Research Synthesis Methods,1759-2879,1759-2887,MULTIDISCIPLINARY SCIENCES,SCIE,8706,6.1,Q1,1.26,63.39
PROGRESS IN NEUROBIOLOGY,0301-0082,1873-5118,NEUROSCIENCES,SCIE,13880,6.1,Q1,1.24,47.28
ANTIOXIDANTS & REDOX SIGNALING,1523-0864,1557-7716,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,23940,6.1,Q1,1.03,3.51
Annual Review of Cancer Biology,2472-3428,2472-3428,ONCOLOGY,SCIE,1041,6.1,Q1,0.97,93.1
CURRENT OPINION IN CHEMICAL BIOLOGY,1367-5931,1879-0402,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,11074,6.1,Q1,0.9,28.62
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1053-2498,1557-3117,Multiple,,14148,6.0,Q1,2.03,11.42
FOOD POLICY,0306-9192,1873-5657,NUTRITION & DIETETICS,SCIE,10970,6.0,Q1,1.9,46.67
CRITICAL CARE MEDICINE,0090-3493,1530-0293,CRITICAL CARE MEDICINE,SCIE,38444,6.0,Q1,1.72,17.44
GLOBAL ECOLOGY AND BIOGEOGRAPHY,1466-822X,1466-8238,ECOLOGY,SCIE,19238,6.0,Q1,1.62,49.77
HUMAN DEVELOPMENT,0018-716X,1423-0054,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,2274,6.0,Q1,1.6,20.0
Journal of Cystic Fibrosis,1569-1993,1873-5010,RESPIRATORY SYSTEM,SCIE,7271,6.0,Q1,1.59,23.08
JOURNAL OF MEDICAL INTERNET RESEARCH,1439-4456,1438-8871,Multiple,,50249,6.0,Q1,1.59,98.06
npj Aging,,2731-6068,GERIATRICS & GERONTOLOGY,ESCI,392,6.0,Q1,1.56,94.0
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,0894-7317,,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,12523,6.0,Q1,1.54,13.89
VALUE IN HEALTH,1098-3015,1524-4733,Multiple,,14950,6.0,Q1,1.5,37.59
WORK AND STRESS,0267-8373,1464-5335,"PSYCHOLOGY, APPLIED",SSCI,4410,6.0,Q1,1.38,45.76
Cancer Cell International,,1475-2867,ONCOLOGY,SCIE,15529,6.0,Q1,1.08,99.91
Allergologie select,,2512-8957,ALLERGY,ESCI,285,6.0,Q1,1.07,2.33
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,1084-9521,1096-3634,Multiple,,15529,6.0,Q1,0.87,29.27
FOOD REVIEWS INTERNATIONAL,8755-9129,1525-6103,NUTRITION & DIETETICS,SCIE,7341,6.0,Q1,0.65,6.18
Life Medicine,,2755-1733,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,296,6.0,Q1,0.56,100.0
JOURNAL OF DENTAL RESEARCH,0022-0345,1544-0591,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,25107,5.9,Q1,2.48,18.61
EUROPEAN JOURNAL OF EPIDEMIOLOGY,0393-2990,1573-7284,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,15738,5.9,Q1,2.28,64.52
Translational Research,1931-5244,1878-1810,Multiple,,7093,5.9,Q1,2.14,10.03
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,0300-5771,1464-3685,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,38763,5.9,Q1,1.86,47.41
SEMINARS IN NUCLEAR MEDICINE,0001-2998,1558-4623,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,3504,5.9,Q1,1.4,27.35
SURVEY OF OPHTHALMOLOGY,0039-6257,1879-3304,OPHTHALMOLOGY,SCIE,7774,5.9,Q1,1.33,15.38
Environmental Health,,1476-069X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,9051,5.9,Q1,1.32,99.67
EPMA Journal,1878-5077,1878-5085,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,2111,5.9,Q1,1.31,41.73
American Journal of Preventive Cardiology,2666-6677,2666-6677,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,1294,5.9,Q1,1.16,99.05
CELL BIOLOGY AND TOXICOLOGY,0742-2091,1573-6822,Multiple,,3594,5.9,Q1,1.1,54.78
Frontiers in Immunology,1664-3224,1664-3224,IMMUNOLOGY,SCIE,227392,5.9,Q1,1.02,99.9
Journal of Molecular Cell Biology,1674-2788,1759-4685,CELL BIOLOGY,SCIE,3764,5.9,Q2,0.74,97.97
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,0963-7214,1467-8721,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,16796,5.8,Q1,2.4,31.52
World Journal of Emergency Surgery,1749-7922,1749-7922,Multiple,,3725,5.8,Q1,2.28,100.0
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,0190-6011,1938-1344,ORTHOPEDICS,SCIE,10490,5.8,Q1,2.12,2.22
PSYCHOLOGICAL REVIEW,0033-295X,1939-1471,Multiple,,32225,5.8,Q1,1.98,45.05
Computers in Human Behavior Reports,2451-9588,2451-9588,Multiple,,2033,5.8,Q1,1.78,99.43
HEART RHYTHM,1547-5271,1556-3871,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,15509,5.8,Q1,1.55,20.31
Journal of Cardiovascular Computed Tomography,1934-5925,1934-5925,Multiple,,3289,5.8,Q1,1.47,23.7
PROSTATE CANCER AND PROSTATIC DISEASES,1365-7852,1476-5608,Multiple,,4813,5.8,Q1,1.36,28.86
ALTEX-Alternatives to Animal Experimentation,1868-596X,1868-8551,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,2171,5.8,Q1,1.34,97.46
JMIR Mental Health,2368-7959,2368-7959,PSYCHIATRY,SCIE,5479,5.8,Q1,1.23,99.15
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,1107-3756,1791-244X,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,16599,5.8,Q1,1.21,83.71
Current Research in Microbial Sciences,2666-5174,2666-5174,MICROBIOLOGY,ESCI,1263,5.8,Q1,1.11,99.56
JCO Precision Oncology,,2473-4284,ONCOLOGY,SCIE,6054,5.8,Q1,1.11,23.05
BIOMASS & BIOENERGY,0961-9534,1873-2909,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,22201,5.8,Q1,1.07,19.44
Cardiovascular Intervention and Therapeutics,1868-4300,1868-4297,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,1085,5.8,Q1,1.05,25.0
Neuroscience Bulletin,1673-7067,1995-8218,NEUROSCIENCES,SCIE,5412,5.8,Q1,1.04,32.32
Nepal Journal of Epidemiology,2091-0800,2091-0800,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,289,5.8,Q1,0.83,94.74
CURRENT OPINION IN IMMUNOLOGY,0952-7915,1879-0372,IMMUNOLOGY,SCIE,9498,5.8,Q1,0.72,30.17
Stress Biology,,2731-0450,BIOCHEMISTRY & MOLECULAR BIOLOGY,ESCI,745,5.8,Q1,0.69,100.0
Ophthalmology Retina,2468-6530,,OPHTHALMOLOGY,ESCI,4131,5.7,Q1,2.42,25.28
JOURNAL OF INVESTIGATIVE DERMATOLOGY,0022-202X,1523-1747,DERMATOLOGY,SCIE,33879,5.7,Q1,2.14,18.79
Systematic Biology,1063-5157,1076-836X,EVOLUTIONARY BIOLOGY,SCIE,18766,5.7,Q1,1.79,41.96
Acta Neuropathologica Communications,2051-5960,2051-5960,NEUROSCIENCES,SCIE,10245,5.7,Q1,1.65,100.0
BULLETIN OF THE WORLD HEALTH ORGANIZATION,0042-9686,1564-0604,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,15798,5.7,Q1,1.64,99.5
Kidney International Reports,2468-0249,2468-0249,UROLOGY & NEPHROLOGY,SCIE,7275,5.7,Q1,1.64,98.76
JOURNAL OF MEDICAL SYSTEMS,0148-5598,1573-689X,Multiple,,7887,5.7,Q1,1.49,38.36
Psoriasis-Targets and Therapy,,2230-326X,DERMATOLOGY,ESCI,559,5.7,Q1,1.49,100.0
Chinese Medicine,1749-8546,1749-8546,Multiple,,5466,5.7,Q1,1.39,100.0
ATHEROSCLEROSIS,0021-9150,1879-1484,Multiple,,24673,5.7,Q1,1.35,35.62
JOURNAL OF CLINICAL IMMUNOLOGY,0271-9142,1573-2592,IMMUNOLOGY,SCIE,6799,5.7,Q1,1.19,50.26
BLOOD REVIEWS,0268-960X,1532-1681,HEMATOLOGY,SCIE,5275,5.7,Q1,1.17,26.5
Cardiac Failure Review,2057-7540,2057-7559,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,997,5.7,Q1,1.09,100.0
Essays in Biochemistry,0071-1365,1744-1358,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,5909,5.7,Q1,0.67,49.76
Ocular Surface,1542-0124,1937-5913,OPHTHALMOLOGY,SCIE,6375,5.6,Q1,2.73,23.08
JAMA Otolaryngology-Head & Neck Surgery,2168-6181,2168-619X,Multiple,,7025,5.6,Q1,2.64,5.54
Social Issues and Policy Review,1751-2395,1751-2409,"PSYCHOLOGY, SOCIAL",SSCI,1423,5.6,Q1,2.33,25.0
European Urology Focus,,2405-4569,UROLOGY & NEPHROLOGY,SCIE,5630,5.6,Q1,1.93,20.39
NEPHROLOGY DIALYSIS TRANSPLANTATION,0931-0509,1460-2385,Multiple,,25669,5.6,Q1,1.86,30.0
DEVELOPMENTAL REVIEW,0273-2297,1090-2406,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,5421,5.6,Q1,1.67,36.36
AUTISM,1362-3613,1461-7005,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,12608,5.6,Q1,1.62,40.51
Journal of Ginseng Research,1226-8453,2093-4947,INTEGRATIVE & COMPLEMENTARY MEDICINE,SCIE,4317,5.6,Q1,1.6,99.58
Advances in Wound Care,2162-1918,2162-1934,DERMATOLOGY,SCIE,5449,5.6,Q1,1.49,9.09
CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,1442-6404,1442-9071,OPHTHALMOLOGY,SCIE,4921,5.6,Q1,1.46,38.97
Autism Research,1939-3792,1939-3806,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,8958,5.6,Q1,1.41,42.86
JOURNAL OF ECOLOGY,0022-0477,1365-2745,ECOLOGY,SCIE,25403,5.6,Q1,1.4,41.15
NEUROBIOLOGY OF DISEASE,0969-9961,1095-953X,NEUROSCIENCES,SCIE,21317,5.6,Q1,1.4,99.58
PEDIATRIC DIABETES,1399-543X,1399-5448,PEDIATRICS,SCIE,5438,5.6,Q1,1.39,60.99
BIOCHEMICAL PHARMACOLOGY,0006-2952,1873-2968,PHARMACOLOGY & PHARMACY,SCIE,32972,5.6,Q1,1.3,18.87
BREAST CANCER RESEARCH,1465-5411,1465-542X,ONCOLOGY,SCIE,12611,5.6,Q1,1.3,100.0
Immunity & Ageing,1742-4933,1742-4933,Multiple,,2583,5.6,Q1,1.23,100.0
CELL PROLIFERATION,0960-7722,1365-2184,CELL BIOLOGY,SCIE,9440,5.6,Q2,0.82,98.84
CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY,1040-8428,1879-0461,Multiple,,12056,5.6,Q1,0.82,30.1
European Journal of Psychology Applied to Legal Context,1889-1861,1989-4007,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,483,5.5,Q1,5.63,100.0
MODERN PATHOLOGY,0893-3952,1530-0285,PATHOLOGY,SCIE,18369,5.5,Q1,2.5,23.35
JOURNAL OF DENTISTRY,0300-5712,1879-176X,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,16984,5.5,Q1,2.21,31.58
PSYCHOLOGICAL MEDICINE,0033-2917,1469-8978,Multiple,,36435,5.5,Q1,1.97,61.07
PAIN,0304-3959,1872-6623,Multiple,,41266,5.5,Q1,1.93,25.52
RADIOGRAPHICS,0271-5333,,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,15431,5.5,Q1,1.6,2.62
AMERICAN JOURNAL OF CHINESE MEDICINE,0192-415X,1793-6853,Multiple,,5757,5.5,Q1,1.56,0.7
Molecular Autism,2040-2392,2040-2392,Multiple,,4248,5.5,Q1,1.56,100.0
Infectious Diseases of Poverty,2095-5162,2049-9957,Multiple,,4779,5.5,Q1,1.54,100.0
CLINICAL PHARMACOLOGY & THERAPEUTICS,0009-9236,1532-6535,PHARMACOLOGY & PHARMACY,SCIE,19406,5.5,Q1,1.5,41.09
International Journal of Behavioral Nutrition and Physical Activity,,1479-5868,NUTRITION & DIETETICS,SCIE,16284,5.5,Q1,1.5,100.0
Molecular Ecology Resources,1755-098X,1755-0998,Multiple,,16530,5.5,Q1,1.5,49.21
GENOME RESEARCH,1088-9051,1549-5469,Multiple,,43032,5.5,Q1,1.47,64.81
Circulation-Genomic and Precision Medicine,2574-8300,2574-8300,Multiple,,2367,5.5,Q1,1.44,22.3
JOURNAL OF PSYCHOPHARMACOLOGY,0269-8811,1461-7285,Multiple,,9056,5.5,Q1,1.39,43.97
Drug Delivery and Translational Research,2190-393X,2190-3948,Multiple,,7420,5.5,Q1,1.35,35.75
JOURNAL OF GASTROENTEROLOGY,0944-1174,1435-5922,GASTROENTEROLOGY & HEPATOLOGY,SCIE,8717,5.5,Q1,1.33,36.75
Annals of Intensive Care,2110-5820,2110-5820,CRITICAL CARE MEDICINE,SCIE,6231,5.5,Q1,1.32,100.0
Pharmaceutics,,1999-4923,PHARMACOLOGY & PHARMACY,SCIE,61559,5.5,Q1,1.3,99.99
CONSERVATION BIOLOGY,0888-8892,1523-1739,ECOLOGY,SCIE,22652,5.5,Q1,1.29,64.47
MOLECULAR CANCER THERAPEUTICS,1535-7163,1538-8514,ONCOLOGY,SCIE,19512,5.5,Q1,1.17,28.13
Journal of Oral Microbiology,,2000-2297,MICROBIOLOGY,SCIE,2333,5.5,Q1,1.14,99.44
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,1040-8363,1549-781X,MEDICAL LABORATORY TECHNOLOGY,SCIE,3350,5.5,Q1,1.11,14.43
Annual Review of Vision Science,2374-4642,2374-4650,Multiple,,1740,5.5,Q1,0.98,57.38
Current Nutrition Reports,,2161-3311,NUTRITION & DIETETICS,SCIE,2304,5.5,Q1,0.91,37.37
EXPERT REVIEWS IN MOLECULAR MEDICINE,1462-3994,1462-3994,Multiple,,2234,5.5,Q1,0.62,62.73
ANNALS OF EMERGENCY MEDICINE,0196-0644,1097-6760,EMERGENCY MEDICINE,SCIE,12174,5.4,Q1,2.38,14.29
ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,0749-8063,1526-3231,Multiple,,19127,5.4,Q1,1.99,4.09
Body Image,1740-1445,1873-6807,Multiple,,8830,5.4,Q1,1.86,31.91
Annals of the American Thoracic Society,2329-6933,2325-6621,RESPIRATORY SYSTEM,SCIE,11308,5.4,Q1,1.62,11.06
Environmental Microbiome,,2524-6372,Multiple,,1297,5.4,Q1,1.55,99.6
BIOINFORMATICS,1367-4803,1367-4811,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,179068,5.4,Q1,1.45,81.33
JOURNAL OF ETHNOPHARMACOLOGY,0378-8741,1872-7573,Multiple,,62205,5.4,Q1,1.44,9.43
GeroScience,2509-2715,2509-2723,GERIATRICS & GERONTOLOGY,SCIE,6319,5.4,Q1,1.43,51.55
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,1475-6366,1475-6374,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,9131,5.4,Q1,1.36,99.4
BRITISH MEDICAL BULLETIN,0007-1420,1471-8391,"MEDICINE, GENERAL & INTERNAL",SCIE,5558,5.4,Q1,1.35,50.0
JOURNAL OF CLINICAL MICROBIOLOGY,0095-1137,1098-660X,MICROBIOLOGY,SCIE,42516,5.4,Q1,1.34,35.7
BIOMACROMOLECULES,1525-7797,1526-4602,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,40643,5.4,Q1,1.3,21.45
Marine Drugs,,1660-3397,PHARMACOLOGY & PHARMACY,SCIE,31886,5.4,Q1,1.27,100.0
CHEMICO-BIOLOGICAL INTERACTIONS,0009-2797,1872-7786,Multiple,,19235,5.4,Q1,1.23,9.24
Food & Function,2042-6496,2042-650X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,40024,5.4,Q1,1.09,12.33
Virulence,2150-5594,2150-5608,Multiple,,7924,5.4,Q1,1.07,99.74
Endoscopic Ultrasound,2303-9027,2226-7190,GASTROENTEROLOGY & HEPATOLOGY,SCIE,1616,5.4,Q1,0.91,65.67
Expert Opinion on Drug Delivery,1742-5247,1744-7593,PHARMACOLOGY & PHARMACY,SCIE,10141,5.4,Q1,0.91,8.93
WORLD JOURNAL OF GASTROENTEROLOGY,1007-9327,2219-2840,GASTROENTEROLOGY & HEPATOLOGY,SCIE,50565,5.4,Q1,0.91,65.86
INFLAMMATION RESEARCH,1023-3830,1420-908X,Multiple,,7223,5.4,Q1,0.79,18.86
Artificial Intelligence in the Life Sciences,,2667-3185,BIOCHEMISTRY & MOLECULAR BIOLOGY,ESCI,365,5.4,Q1,0.71,96.3
New Microbes and New Infections,,2052-2975,Multiple,,2148,5.4,Q1,0.55,100.0
MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,1537-1719,Multiple,,65941,5.3,Q1,2.23,99.62
Child Development Perspectives,1750-8592,1750-8606,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,5292,5.3,Q1,1.81,48.31
CLINICAL ORAL IMPLANTS RESEARCH,0905-7161,1600-0501,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,15563,5.3,Q1,1.46,36.7
ADDICTION,0965-2140,1360-0443,PSYCHIATRY,"SCIE, SSCI",19740,5.3,Q1,1.44,51.13
Journal of the American Heart Association,,2047-9980,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,44926,5.3,Q1,1.39,97.11
RADIOTHERAPY AND ONCOLOGY,0167-8140,1879-0887,Multiple,,23597,5.3,Q1,1.37,31.48
CANADIAN JOURNAL OF CARDIOLOGY,0828-282X,1916-7075,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,10339,5.3,Q1,1.34,15.53
Molecular Therapy Oncology,,2950-3299,Multiple,,3963,5.3,Q1,1.23,97.95
KOREAN JOURNAL OF RADIOLOGY,1229-6929,2005-8330,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,5833,5.3,Q1,1.22,34.67
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,1044-1549,1535-4989,Multiple,,12484,5.3,Q1,1.21,7.14
Infectious Diseases and Therapy,2193-8229,2193-6382,INFECTIOUS DISEASES,SCIE,3634,5.3,Q1,1.17,99.33
INFLAMMOPHARMACOLOGY,0925-4692,1568-5608,Multiple,,6558,5.3,Q1,1.09,21.87
American Journal of Medicine,0002-9343,1555-7162,"MEDICINE, GENERAL & INTERNAL",SCIE,24192,5.3,Q1,1.08,9.74
Cancer & Metabolism,,2049-3002,Multiple,,1546,5.3,Q1,1.08,100.0
Current Neuropharmacology,1570-159X,1875-6190,Multiple,,9401,5.3,Q1,0.86,5.51
BRITISH JOURNAL OF GENERAL PRACTICE,0960-1643,1478-5242,"MEDICINE, GENERAL & INTERNAL",SCIE,9630,5.2,Q1,2.36,97.95
Asian Journal of Social Health and Behavior,,2772-4204,Multiple,,361,5.2,Q1,1.93,100.0
ACADEMIC MEDICINE,1040-2446,1938-808X,HEALTH CARE SCIENCES & SERVICES,SCIE,23675,5.2,Q1,1.88,10.39
JOURNAL OF CLINICAL EPIDEMIOLOGY,0895-4356,1878-5921,Multiple,,43370,5.2,Q1,1.84,43.53
JAAD International,,2666-3287,DERMATOLOGY,ESCI,1046,5.2,Q1,1.82,94.08
JOURNAL OF VOCATIONAL BEHAVIOR,0001-8791,1095-9084,"PSYCHOLOGY, APPLIED",SSCI,17203,5.2,Q1,1.79,29.8
International Journal of Pharmaceutics,0378-5173,1873-3476,PHARMACOLOGY & PHARMACY,SCIE,67133,5.2,Q1,1.65,21.44
JOURNAL OF PATHOLOGY,0022-3417,1096-9896,Multiple,,16937,5.2,Q1,1.64,54.13
MEDICAL EDUCATION,0308-0110,1365-2923,HEALTH CARE SCIENCES & SERVICES,SCIE,12988,5.2,Q1,1.62,58.98
Journal of NeuroEngineering and Rehabilitation,,1743-0003,NEUROSCIENCES,SCIE,10023,5.2,Q1,1.51,100.0
CURRENT OPINION IN NEUROBIOLOGY,0959-4388,1873-6882,NEUROSCIENCES,SCIE,15365,5.2,Q1,1.46,41.75
LIVER INTERNATIONAL,1478-3223,1478-3231,GASTROENTEROLOGY & HEPATOLOGY,SCIE,15025,5.2,Q1,1.26,41.6
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,0168-1605,1879-3460,MICROBIOLOGY,SCIE,28399,5.2,Q1,1.22,21.33
Nutrition & Diabetes,2044-4052,2044-4052,NUTRITION & DIETETICS,SCIE,2374,5.2,Q1,1.12,100.0
PROTEIN SCIENCE,0961-8368,1469-896X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,22181,5.2,Q1,1.09,46.77
Current Atherosclerosis Reports,1523-3804,1534-6242,PERIPHERAL VASCULAR DISEASE,SCIE,4491,5.2,Q1,1.0,27.11
Microbial Biotechnology,1751-7915,1751-7915,Multiple,,8812,5.2,Q1,1.0,97.04
